CropSeqID	startDay	endDay	FOMCStoredStart	HUMCStoredStart	ROMCStoredStart	BiocharCStoredStart	FOMnStoredStart	HUMnStoredStart	ROMnStoredStart	FOMC_InputThisCrop	HUMC_InputThisCrop	BiocharC_InputThisCrop	CO2Emission	balance	FOMCStoredEnd	HUMCStoredEnd	ROMCStoredEnd	BiocharCStoredEnd	SoilOrganicCarbon	FOMnStoredEnd	HUMnStoredEnd	ROMnStoredEnd	Total_soil_N	FOMNInput	HUMNInput	Nmin	Org_N_leached	NStart	Nend	FOMnmineralised
CropSeqID	day	day	MgC/ha	MgC/ha	MgC/ha	MgC/ha	MgN/ha	MgN/ha	MgN/ha	MgC/ha/period	MgC/ha/period	MgC/ha/period	MgC/ha/period	MgC/ha/period	MgC/ha	MgC/ha	MgC/ha	MgC/ha	MgC/ha	MgN/ha	MgN/ha	MgN/ha	MgN/ha	MgN/ha/period	MgN/ha/period	MgN/ha/period	MgN/ha/period	MgN/ha	MgN/ha	MgN/ha/period
1	320	684	5.16503276216759E-68	5781.42482249096	78259.3450402835	0	4.49479674146021E-33	481.785401874246	6521.61208669029	0	0	0	0	0	5.16503276216759E-68	5781.42482249096	78259.3450402835	0	84040.7698627745	4.49479674146021E-33	481.785401874246	6521.61208669029	7003.3975	0	0	0	0	7003.39748856454	0	0
1	320	684	5.16503276216759E-68	5781.42482249096	78259.3450402835	0	4.49479674146021E-33	481.785401874246	6521.61208669029	0	0	0	162.857417050893	2.91038304567337E-11	1.0033466805602E-68	5641.7760688684	78236.1363768551	0	83877.9124457235	2.00542122461299E-33	470.148005739034	6519.67803140459	6989.82603714363	0	0	13.5714514209112	0	7003.39748856454	6989.82603714363	0
1	685	1049	1.0033466805602E-68	5641.7760688684	78236.1363768551	0	2.00542122461299E-33	470.148005739034	6519.67803140459	0	0	0	159.541214726153	1.45519152283669E-11	1.94906860935874E-69	5505.49908233253	78212.8721486648	0	83718.3712309974	8.94748132070323E-34	458.791590194377	6517.73934572207	6976.53093591645	0	0	13.2951012271806	0	6989.82603714363	6976.53093591645	0
1	1050	1414	1.94906860935874E-69	5505.49908233253	78212.8721486648	0	8.94748132070323E-34	458.791590194377	6517.73934572207	0	0	0	156.304826203218	-8.73114913702011E-11	3.78618193979336E-70	5372.51250550962	78189.5538992846	0	83562.0664047942	3.99204705325598E-34	447.709375459135	6515.79615827372	6963.50553373285	0	0	13.0254021835945	0	6976.53093591645	6963.50553373285	0
1	1415	1779	3.78618193979336E-70	5372.51250550962	78189.5538992846	0	3.99204705325598E-34	447.709375459135	6515.79615827372	0	0	0	153.146327652391	-2.91038304567337E-11	7.35485551255378E-71	5242.73694212987	78166.183135012	0	83408.9200771419	1.78110767090713E-34	436.894745177489	6513.84859458433	6950.74333976182	0	0	12.7621939710298	0	6963.50553373285	6950.74333976182	0
1	1780	2144	7.35485551255378E-71	5242.73694212987	78166.183135012	0	1.78110767090713E-34	436.894745177489	6513.84859458433	0	0	0	150.063841545523	-2.61934474110603E-10	1.42871364081375E-71	5116.09490982888	78142.7613257677	0	83258.8562355966	7.94665540628161E-35	426.34124248574	6511.89677714731	6938.23801963305	0	0	12.5053201287719	0	6950.74333976182	6938.23801963305	0
1	2145	2509	1.42871364081375E-71	5116.09490982888	78142.7613257677	0	7.94665540628161E-35	426.34124248574	6511.89677714731	0	0	0	147.055535543954	-5.82076609134674E-11	2.77533032657691E-72	4992.51079408245	78119.2899059703	0	83111.8007000527	3.54550649013361E-35	416.042566173537	6509.94082549752	6925.98339167106	0	0	12.254627961991	0	6938.23801963305	6925.98339167106	0
1	2510	2874	2.77533032657691E-72	4992.51079408245	78119.2899059703	0	3.54550649013361E-35	416.042566173537	6509.94082549752	0	0	0	144.119621413821	-1.16415321826935E-10	5.39116566218421E-73	4871.91080324733	78095.7702753917	0	82967.681078639	1.58187403404921E-35	405.992566937278	6507.98085628264	6913.97342321992	0	0	12.0099684511415	0	6925.98339167106	6913.97342321992	0
1	2875	3239	5.39116566218421E-73	4871.91080324733	78095.7702753917	0	1.58187403404921E-35	405.992566937278	6507.98085628264	0	0	0	141.254353966594	1.45519152283669E-11	1.04724727289617E-73	4754.22292468176	78072.2037999906	0	82826.4267246724	7.05773309258675E-36	396.18524372348	6506.01698333255	6902.20222705603	0	0	11.7711961638852	0	6913.97342321992	6902.20222705603	0
1	3240	3604	1.04724727289617E-73	4754.22292468176	78072.2037999906	0	7.05773309258675E-36	396.18524372348	6506.01698333255	0	0	0	138.458030025656	-5.82076609134674E-11	2.03429729084558E-74	4639.37688191963	78048.5918127272	0	82687.9686946468	3.14889583704735E-36	386.614740159969	6504.04931772727	6890.66405788723	0	0	11.538169168799	0	6902.20222705603	6890.66405788723	0
1	3605	3969	2.03429729084558E-74	4639.37688191963	78048.5918127272	0	3.14889583704735E-36	386.614740159969	6504.04931772727	0	0	0	135.728987417035	2.91038304567337E-11	3.95164825078074E-75	4527.30409287327	78024.9356143565	0	82552.2397072297	1.40491840282225E-36	377.275341072773	6502.07796786304	6879.35330893581	0	0	11.3107489514223	0	6890.66405788723	6879.35330893581	0
1	3970	4334	3.95164825078074E-75	4527.30409287327	78024.9356143565	0	1.40491840282225E-36	377.275341072773	6502.07796786304	0	0	0	133.06560398491	1.45519152283669E-11	7.67610430207004E-76	4417.9376290403	78001.2364742045	0	82419.1741032448	6.26821176349456E-37	368.161469086692	6500.10303951704	6868.26450860373	0	0	11.088800332077	0	6879.35330893581	6868.26450860373	0
1	4335	4699	7.67610430207004E-76	4417.9376290403	78001.2364742045	0	6.26821176349456E-37	368.161469086692	6500.10303951704	0	0	0	130.466296629444	7.27595761418343E-11	1.49108442488039E-76	4311.21217569026	77977.495630925	0	82288.7078066153	2.79663623945993E-37	359.267681307521	6498.12463591042	6857.39231721794	0	0	10.8721913857935	0	6868.26450860373	6857.39231721794	0
1	4700	5064	1.49108442488039E-76	4311.21217569026	77977.495630925	0	2.79663623945993E-37	359.267681307521	6498.12463591042	0	0	0	127.929520369563	-8.73114913702011E-11	2.89642593548807E-77	4207.06399300783	77953.714293238	0	82160.7782862458	1.24775142191948E-37	350.588666083986	6496.14285776983	6846.73152385382	0	0	10.6607933641217	0	6857.39231721794	6846.73152385382	0
1	5065	5429	2.89642593548807E-77	4207.06399300783	77953.714293238	0	1.24775142191948E-37	350.588666083986	6496.14285776983	0	0	0	125.453767426398	-5.82076609134674E-11	5.62628198776283E-78	4105.43087816957	77929.8936406499	0	82035.3245188195	5.56698365767425E-38	342.119239847464	6494.15780338749	6836.27704323496	0	0	10.4544806188633	0	6846.73152385382	6836.27704323496	0
1	5430	5794	5.62628198776283E-78	4105.43087816957	77929.8936406499	0	5.56698365767425E-38	342.119239847464	6494.15780338749	0	0	0	123.03756632954	1.45519152283669E-11	1.09289762138621E-78	4006.25212833191	77906.034824158	0	81912.2869524899	2.48377132325246E-38	333.85434402766	6492.16956867983	6826.02391270749	0	0	10.2531305274633	0	6836.27704323496	6826.02391270749	0
1	5795	6159	1.09289762138621E-78	4006.25212833191	77906.034824158	0	2.48377132325246E-38	333.85434402766	6492.16956867983	0	0	0	120.679481044861	1.60071067512035E-10	2.12293368124569E-79	3909.46850450851	77882.1389669364	0	81791.6074714449	1.10816152691609E-38	325.789042042376	6490.1782472447	6815.96728928707	0	0	10.056623420418	0	6826.02391270749	6815.96728928707	0
1	6160	6524	2.12293368124569E-79	3909.46850450851	77882.1389669364	0	1.10816152691609E-38	325.789042042376	6490.1782472447	0	0	0	118.378110122462	-5.82076609134674E-11	4.12375045068509E-80	3815.02219631571	77858.2071650068	0	81673.2293613225	4.94418068368975E-39	317.918516359643	6488.18393041723	6806.10244677688	0	0	9.8648425101992	0	6815.96728928707	6806.10244677688	0
1	6525	6889	4.12375045068509E-80	3815.02219631571	77858.2071650068	0	4.94418068368975E-39	317.918516359643	6488.18393041723	0	0	0	116.132085865684	0	8.01027389512299E-81	3722.85678756535	77834.2404878915	0	81557.0972754568	2.20589792436586E-39	310.238065630446	6486.18670732429	6796.42477295474	0	0	9.6776738221406	0	6806.10244677688	6796.42477295474	0
