CropSeq	crop_no	day	precip	irrigation	evap	transpire	drainage	waterInSoil	plantwaterInSoil	droughtFactorPlant	droughtFactorSoil	LAI	NO3-N	Canopy
1	99	43	0	0	0.22	0	0.000234944651300424	105.251390546461	5.06432508355394	0.110584947771564	0	0	1.26406080484977E-05	0
1	99	44	0	0	0.22	0	1.4096679074953E-05	105.031376449782	4.84432508355394	0.149222141921222	0	0	7.68549484449854E-07	0
1	99	45	13.1612903225806	0	0.22	0	10.6841564148803	107.288510357482	6.41949246030523	0	0	0	0.576570472787535	0
1	99	46	0	0	0.22	0	1.0877067190376	105.980803638444	5.72432508355546	0	0	0	0.0541568627849381	0
1	99	47	0	0	0.24	0	0.0652624031422549	105.675541235302	5.48432508355546	0.0368230316674033	0	0	0.00326458388351314	0
1	99	48	0	0	0.24	0	0.00391574418853409	105.431625491114	5.24432508355546	0.0789726980124846	0	0	0.000198566275326549	0
1	99	49	0	0	0.24	0	0.000234944651313782	105.191390546462	5.00432508355546	0.121122364357566	0	0	1.20826253100978E-05	0
1	99	50	0	0	0.24	0	1.40966790816321E-05	104.951376449783	4.76432508355546	0.163272030702647	0	0	7.35146271845139E-07	0
1	99	51	10.3225806451613	0	0.24	0	8.08751254391395	106.94644455103	6.24316987966015	0	0	0	0.418702205938788	0
1	99	52	0	0	0.24	0	0.758437454521629	105.948007096509	5.71254572871676	0	0	0	0.0370928697345133	0
1	99	53	0	0	0.24	0	0.0455062472713006	105.662500849238	5.47254572871676	0.038891764484952	0	0	0.0022429695542629	0
1	99	54	0	0	0.24	0	0.00273037483628031	105.419770474401	5.23254572871676	0.0810414308300333	0	0	0.000136475251886023	0
1	99	55	0	0	0.24	0	0.000163822490174681	105.179606651911	4.99254572871676	0.123191097175115	0	0	8.30594357304369E-06	0
1	99	56	12.9032258064516	0	0.24	0	10.5694353540433	107.273397104319	6.41170182804725	0	0	0	0.53167837048034	0
1	99	57	0	0	0.24	0	1.05626765272423	105.977129451595	5.72265764561998	0	0	0	0.0491176939347218	0
1	99	58	0	0	0.24	0	0.0633760591634565	105.673753392432	5.48265764561998	0.0371158731367014	0	0	0.00296416292250585	0
1	99	59	0	0	0.24	0	0.00380256354980432	105.429950828882	5.24265764561998	0.0792655394817827	0	0	0.000180445312144611	0
1	99	60	0	0	0.24	0	0.000228153812988126	105.189722675069	5.00265764561998	0.121415205826864	0	0	1.0988837452178E-05	0
1	99	61	12.9032258064516	0	0.24	0	10.5783741036983	107.274574377822	6.41230854306145	0	0	0	0.505859722427444	0
1	99	62	0	0	0.24	0	1.05734007109007	105.977234306732	5.72269404852084	0	0	0	0.0467679623254015	0
1	99	63	0	0	0.24	0	0.0634404042654037	105.673793902467	5.48269404852084	0.0371094799278476	0	0	0.00282419539618857	0
1	99	64	0	0	0.24	0	0.00380642425592129	105.429987478211	5.24269404852084	0.079259146272929	0	0	0.000172035116739997	0
1	99	65	0	0	0.24	0	0.000228385455356346	105.189759092756	5.00269404852084	0.12140881261801	0	0	1.04832310363816E-05	0
1	99	66	12.9032258064516	0	0.24	0	10.5784062832001	107.274578616007	6.4123107272355	0	0	0	0.482391085951903	0
1	99	67	0	0	0.24	0	1.05734393179636	105.977234684211	5.72269417957128	0	0	0	0.044627649975536	0
1	99	68	0	0	0.24	0	0.0634406359077786	105.673794048303	5.48269417957128	0.0371094569122957	0	0	0.00269669286949549	0
