CropSeq	crop_no	day	precip	irrigation	evap	transpire	drainage	waterInSoil	plantwaterInSoil	droughtFactorPlant	droughtFactorSoil	LAI	NO3-N	Canopy
1	99	1	0	0	0.45	0	0.00485232956953311	92.4733075672186	4.74141763780724	0.158426195915829	0	0	0.000195940902157398	0
1	99	2	0	0	0.45	0	0.000291139774174525	92.0230164274444	4.29141763780724	0.238298554937343	0	0	1.19237331602368E-05	0
1	99	3	11.8	0	0.45	0	8.84258132570378	94.5304351017406	6.23443481087389	0	0	0	0.355807223953199	0
1	99	4	0	0	0.45	0	0.663488710981267	93.4169463907594	5.64301584125789	0	0	0	0.0247363135064855	0
1	99	5	0	0	0.45	0	0.0398093226588738	92.9271370681005	5.19301584125789	0.0782701651614256	0	0	0.00149634987234815	0
1	99	6	0	0	0.45	0	0.00238855935953069	92.474748508741	4.74301584125789	0.158142524182939	0	0	9.10826381185571E-05	0
1	99	7	0	0	0.45	0	0.000143313561571574	92.0246051951794	4.29301584125789	0.238014883204453	0	0	5.54587813020338E-06	0
1	99	8	0	0	0.45	0	8.59881369322579E-06	91.5745965963657	3.84301584125789	0.317887242225967	0	0	3.37663145834869E-07	0
1	99	9	11.8	0	0.45	0	8.44635654581516	94.4782400505505	6.20753070308093	0	0	0	0.324601598371042	0
1	99	10	0	0	0.45	0	0.615942754542083	93.4122972960084	5.64140159479032	0	0	0	0.0220310604482855	0
1	99	11	0	0	0.45	0	0.0369565652725258	92.9253407307359	5.19140159479032	0.0785566844356645	0	0	0.00133390307044072	0
1	99	12	0	0	0.45	0	0.00221739391635168	92.4731233368196	4.74140159479032	0.158429043457178	0	0	8.12301139236274E-05	0
1	99	13	0	0	0.45	0	0.000133043634979231	92.0229902931846	4.29140159479032	0.238301402478692	0	0	4.94796691096842E-06	0
1	99	14	0	0	0.45	0	7.98261809634937E-06	91.5729823105665	3.84140159479032	0.318173761500206	0	0	3.01377601914478E-07	0
1	99	15	11.8	0	0.45	0	8.44493016066468	94.4780521499018	6.20743384829288	0	0	0	0.312146471933966	0
1	99	16	0	0	0.22	0	0.818999590542339	93.4390525593595	5.65519578350303	0	0	0	0.0281787532836284	0
1	99	17	0	0	0.22	0	0.0491399754325393	93.1699125839269	5.43519578350303	0.0352846467285073	0	0	0.001699146822089	0
1	99	18	0	0	0.22	0	0.00294839852595302	92.946964185401	5.21519578350303	0.0743333555834694	0	0	0.000103246084362905	0
1	99	19	0	0	0.22	0	0.000176903911558384	92.7267872814894	4.99519578350303	0.113382064438432	0	0	6.27583303209877E-06	0
1	99	20	0	0	0.22	0	1.06142346932359E-05	92.5067766672547	4.77519578350303	0.152430773293394	0	0	3.81447655025029E-07	0
1	99	21	13.1612903225806	0	0.22	0	10.6760949927405	94.7719719970949	6.35893891897048	0	0	0	0.378430324075986	0
1	99	22	0	0	0.22	0	1.08673936091761	93.4652326361773	5.66428608774369	0	0	0	0.035065225286579	0
1	99	23	0	0	0.22	0	0.0652043616550546	93.1800282745222	5.44428608774369	0.0336711710753417	0	0	0.00211022782657564	0
1	99	24	0	0	0.22	0	0.00391226169930221	92.9561160128229	5.22428608774369	0.0727198799303039	0	0	0.000128298101637286	0
1	99	25	0	0	0.22	0	0.00023473570195506	92.735881277121	5.00428608774369	0.111768588785266	0	0	7.80414751362635E-06	0
1	99	26	0	0	0.22	0	1.40841421205096E-05	92.5158671929788	4.78428608774369	0.150817297640228	0	0	4.74672101986482E-07	0
1	99	27	13.1612903225806	0	0.22	0	10.684127393762	94.7730301217975	6.35948433722492	0	0	0	0.355439669310337	0
1	99	28	0	0	0.22	0	1.08770323654853	93.465326885249	5.66431881283896	0	0	0	0.0329615659086462	0
1	99	29	0	0	0.22	0	0.0652621941929095	93.1800646910561	5.44431881283896	0.0336653625629902	0	0	0.00198509642417261	0
1	99	30	0	0	0.22	0	0.00391573165157297	92.9561489594045	5.22431881283896	0.0727140714179525	0	0	0.000120778630979163	0
