Identity	name	area	isIrrigated	unutilisedGrazableDM	CFixed	surfaceResidueC	subsurfaceResidueC	urineCCropClass	manureFOMCsurface	faecalCCropClass	storageProcessingCLoss	fertiliserC	harvestedC	harvestedDM	burntResidueC	residueCtoNextCrop	unutilisedGrazableC	NyieldMax	maxCropNuptake	cropNuptake	mineralNavailable	soilNMineralisation	Nfixed	nAtm	fertiliserNinput	totalManureNApplied	urineNCropClass	faecalNCropClass	mineralNFromLastCrop	surfaceResidueN	subsurfaceResidueN	excretaNInput	manureNH3emission	fertiliserNH3emission	urineNH3emission	harvestedN	storageProcessingNLoss	manureN2OEmission	soilN2OEmission	fertiliserN2OEmission	Placeholder	burningN2ON	N2Nemission	burningNH3N	burningNOxN	burningOtherN	N2ONemission	nitrateLeaching	mineralNToNextCrop	Precipitation	Irrigation	Drainage	surfaceResidueDM	startday 	startmonth 	startyear 	endday 	endmonth 	endyear 	storageProcessingDMLoss	storageProcessingCLoss	storageProcessingNLoss	unutilisedGrazableN	Name	Potential_yield	waterLimited_yield	Modelled_yield	Expected_yield	Grazed_yield	Harvested	usableForBedding	Name	Potential_yield	waterLimited_yield	Modelled_yield	Expected_yield	Grazed_yield	Harvested	usableForBedding	CropSeq	duration	residueCfromLastCrop	soilCO2_CEmission	CdeltaSoil	deltaSoilN	residueNfromLastCrop	grazedN	residueNtoNextCrop	StartDay
-	-	ha	-	kg/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgDM/ha	kgC/ha	kgC/ha	kg/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha		kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	mm	mm	mm	kg/ha	day	month	year	day	month	year	kg DM/ha	kg C/ha	kg N/ha	kgN/ha	kg/ha	kgDM/ha	kgDM/ha	kgDM/ha	kgDM/ha	kgDM/ha	-	-	kg/ha	kgDM/ha	kgDM/ha	kgDM/ha	kgDM/ha	kgDM/ha	-	-	-	days	kgC/ha	kgC/ha	kgC/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	JulianDay
9	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.8277	107.6804	0	10	0	0	0	0	42.9442	0	0	0	0	0	0	0	0	0	1.1768	0	0	0	2.1182	0	0	0	1.1768	115.5018	41.8277	754.8065	0	359.4956	0	16	11	10	15	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	1289.8624	-1977226.3552	-107.6804	0	0	0	3605
10	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.7901	105.0392	0	10	0	0	0	0	41.8277	0	0	0	0	0	0	0	0	0	1.1504	0	0	0	2.0707	0	0	0	1.1504	112.8556	40.7901	754.8065	0	359.8006	0	16	11	11	15	11	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	1259.4412	-2103170.4796	-105.0392	0	0	0	3970
11	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.8031	102.5176	0	10	0	0	0	0	40.7901	0	0	0	0	0	0	0	0	0	1.1252	0	0	0	2.0253	0	0	0	1.1252	110.3541	39.8031	754.8065	0	360.0972	0	16	11	12	15	11	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	1229.7517	-2226145.6469	-102.5176	0	0	0	4335
12	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.8535	100.0817	0	10	0	0	0	0	39.8031	0	0	0	0	0	0	0	0	0	1.1008	0	0	0	1.9815	0	0	0	1.1008	107.949	38.8535	754.8065	0	360.3857	0	16	11	13	15	11	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	1200.7753	-2346223.1787	-100.0817	0	0	0	4700
13	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.935	97.7155	0	10	0	0	0	0	38.8535	0	0	0	0	0	0	0	0	0	1.0772	0	0	0	1.9389	0	0	0	1.0772	105.618	37.935	754.8065	0	360.6665	0	16	11	14	15	11	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	1172.4949	-2463472.6718	-97.7155	0	0	0	5065
14	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.0443	95.4112	0	10	0	0	0	0	37.935	0	0	0	0	0	0	0	0	0	1.0541	0	0	0	1.8974	0	0	0	1.0541	103.3504	37.0443	754.8065	0	360.9396	0	16	11	15	15	11	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	1144.8938	-2577962.0529	-95.4112	0	0	0	5430
15	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.1795	93.1645	0	10	0	0	0	0	37.0443	0	0	0	0	0	0	0	0	0	1.0316	0	0	0	1.857	0	0	0	1.0316	101.1407	36.1795	754.8065	0	361.2053	0	16	11	16	15	11	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	1117.9557	-2689757.6219	-93.1645	0	0	0	5795
16	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.3393	90.9727	0	10	0	0	0	0	36.1795	0	0	0	0	0	0	0	0	0	1.0097	0	0	0	1.8175	0	0	0	1.0097	98.9857	35.3393	754.8065	0	361.4639	0	16	11	17	15	11	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	1091.6647	-2798924.0905	-90.9727	0	0	0	6160
17	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.5228	88.8341	0	10	0	0	0	0	35.3393	0	0	0	0	0	0	0	0	0	0.9883	0	0	0	1.779	0	0	0	0.9883	96.8832	34.5228	754.8065	0	361.7156	0	16	11	18	15	11	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	1066.0053	-2905524.6209	-88.8341	0	0	0	6525
18	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.7291	86.747	0	10	0	0	0	0	34.5228	0	0	0	0	0	0	0	0	0	0.9675	0	0	0	1.7414	0	0	0	0.9675	94.8318	33.7291	754.8065	0	361.9606	0	16	11	19	15	11	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	1040.9624	-3009620.8618	-86.747	0	0	0	6890
