Identity	name	area	isIrrigated	unutilisedGrazableDM	CFixed	surfaceResidueC	subsurfaceResidueC	urineCCropClass	manureFOMCsurface	faecalCCropClass	storageProcessingCLoss	fertiliserC	harvestedC	harvestedDM	burntResidueC	residueCtoNextCrop	unutilisedGrazableC	NyieldMax	maxCropNuptake	cropNuptake	mineralNavailable	soilNMineralisation	Nfixed	nAtm	fertiliserNinput	totalManureNApplied	urineNCropClass	faecalNCropClass	mineralNFromLastCrop	surfaceResidueN	subsurfaceResidueN	excretaNInput	manureNH3emission	fertiliserNH3emission	urineNH3emission	harvestedN	storageProcessingNLoss	manureN2OEmission	soilN2OEmission	fertiliserN2OEmission	Placeholder	burningN2ON	N2Nemission	burningNH3N	burningNOxN	burningOtherN	N2ONemission	nitrateLeaching	mineralNToNextCrop	Precipitation	Irrigation	Drainage	surfaceResidueDM	startday 	startmonth 	startyear 	endday 	endmonth 	endyear 	storageProcessingDMLoss	storageProcessingCLoss	storageProcessingNLoss	unutilisedGrazableN	Name	Potential_yield	waterLimited_yield	Modelled_yield	Expected_yield	Grazed_yield	Harvested	usableForBedding	Name	Potential_yield	waterLimited_yield	Modelled_yield	Expected_yield	Grazed_yield	Harvested	usableForBedding	CropSeq	duration	residueCfromLastCrop	soilCO2_CEmission	CdeltaSoil	deltaSoilN	residueNfromLastCrop	grazedN	residueNtoNextCrop	StartDay
-	-	ha	-	kg/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgC/ha	kgDM/ha	kgC/ha	kgC/ha	kg/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha		kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	mm	mm	mm	kg/ha	day	month	year	day	month	year	kg DM/ha	kg C/ha	kg N/ha	kgN/ha	kg/ha	kgDM/ha	kgDM/ha	kgDM/ha	kgDM/ha	kgDM/ha	-	-	kg/ha	kgDM/ha	kgDM/ha	kgDM/ha	kgDM/ha	kgDM/ha	-	-	-	days	kgC/ha	kgC/ha	kgC/ha	kgN/ha	kgN/ha	kgN/ha	kgN/ha	JulianDay
9	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.13	11.3107	0	10	0	0	0	0	6.197	0	0	0	0	0	0	0	0	0	0.2131	0	0	0	0.3836	0	0	0	0.2131	20.781	6.13	754.8065	0	370.5516	0	16	11	10	15	11	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	135.729	-148853.0156	-11.3107	0	0	0	3605
10	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0647	11.0888	0	10	0	0	0	0	6.13	0	0	0	0	0	0	0	0	0	0.2109	0	0	0	0.3796	0	0	0	0.2109	20.5636	6.0647	754.8065	0	370.579	0	16	11	11	15	11	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	133.0656	-162159.576	-11.0888	0	0	0	3970
11	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.001	10.8722	0	10	0	0	0	0	6.0647	0	0	0	0	0	0	0	0	0	0.2087	0	0	0	0.3757	0	0	0	0.2087	20.3515	6.001	754.8065	0	370.6058	0	16	11	12	15	11	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	130.4663	-175206.2056	-10.8722	0	0	0	4335
12	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.9389	10.6608	0	10	0	0	0	0	6.001	0	0	0	0	0	0	0	0	0	0.2066	0	0	0	0.3719	0	0	0	0.2066	20.1444	5.9389	754.8065	0	370.632	0	16	11	13	15	11	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	127.9295	-187999.1577	-10.6608	0	0	0	4700
13	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.8782	10.4545	0	10	0	0	0	0	5.9389	0	0	0	0	0	0	0	0	0	0.2045	0	0	0	0.3682	0	0	0	0.2045	19.9424	5.8782	754.8065	0	370.6578	0	16	11	14	15	11	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	125.4538	-200544.5344	-10.4545	0	0	0	5065
14	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.8191	10.2531	0	10	0	0	0	0	5.8782	0	0	0	0	0	0	0	0	0	0.2025	0	0	0	0.3646	0	0	0	0.2025	19.7452	5.8191	754.8065	0	370.683	0	16	11	15	15	11	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	123.0376	-212848.291	-10.2531	0	0	0	5430
15	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.7614	10.0566	0	10	0	0	0	0	5.8191	0	0	0	0	0	0	0	0	0	0.2006	0	0	0	0.361	0	0	0	0.2006	19.5528	5.7614	754.8065	0	370.7077	0	16	11	16	15	11	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	120.6795	-224916.2391	-10.0566	0	0	0	5795
16	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.705	9.8648	0	10	0	0	0	0	5.7614	0	0	0	0	0	0	0	0	0	0.1986	0	0	0	0.3576	0	0	0	0.1986	19.3649	5.705	754.8065	0	370.732	0	16	11	17	15	11	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	118.3781	-236754.0501	-9.8648	0	0	0	6160
17	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.6501	9.6777	0	10	0	0	0	0	5.705	0	0	0	0	0	0	0	0	0	0.1968	0	0	0	0.3542	0	0	0	0.1968	19.1816	5.6501	754.8065	0	370.7557	0	16	11	18	15	11	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	116.1321	-248367.2587	-9.6777	0	0	0	6525
18	Bare soil	100	False	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.5965	9.495	0	10	0	0	0	0	5.6501	0	0	0	0	0	0	0	0	0	0.195	0	0	0	0.3509	0	0	0	0.195	19.0027	5.5965	754.8065	0	370.7791	0	16	11	19	15	11	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	365	0	113.9401	-259761.2661	-9.495	0	0	0	6890
